Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Temperatur,
2025-12-09,14:15:30.525089,1765286130.525089,s,80.063376,s,72.0,°C
2025-12-09,14:15:30.775429,1765286130.775429,s,80.313716,s,72.0,°C
2025-12-09,14:15:31.025526,1765286131.025526,s,80.563813,s,72.0,°C
2025-12-09,14:15:31.275876,1765286131.275876,s,80.814163,s,72.0,°C
2025-12-09,14:15:31.525955,1765286131.525955,s,81.064242,s,72.0,°C
2025-12-09,14:15:31.776407,1765286131.776407,s,81.314694,s,72.0,°C
2025-12-09,14:15:32.026292,1765286132.026292,s,81.564579,s,72.0,°C
2025-12-09,14:15:32.276842,1765286132.276842,s,81.815129,s,72.0,°C
2025-12-09,14:15:32.526531,1765286132.526531,s,82.064818,s,72.0,°C
2025-12-09,14:15:32.777321,1765286132.777321,s,82.315608,s,72.0,°C
2025-12-09,14:15:33.026858,1765286133.026858,s,82.565145,s,72.0,°C
2025-12-09,14:15:33.277881,1765286133.277881,s,82.816168,s,72.0,°C
2025-12-09,14:15:33.527241,1765286133.527241,s,83.065528,s,73.0,°C
2025-12-09,14:15:33.778372,1765286133.778372,s,83.316659,s,73.0,°C
2025-12-09,14:15:34.027505,1765286134.027505,s,83.565792,s,72.0,°C
2025-12-09,14:15:34.278927,1765286134.278927,s,83.817214,s,72.0,°C
2025-12-09,14:15:34.527843,1765286134.527843,s,84.06613,s,72.0,°C
2025-12-09,14:15:34.779309,1765286134.779309,s,84.317596,s,72.0,°C
2025-12-09,14:15:35.028197,1765286135.028197,s,84.566484,s,72.0,°C
2025-12-09,14:15:35.279891,1765286135.279891,s,84.818178,s,72.0,°C
2025-12-09,14:15:35.528583,1765286135.528583,s,85.06687,s,72.0,°C
2025-12-09,14:15:35.780294,1765286135.780294,s,85.318581,s,72.0,°C
2025-12-09,14:15:36.028836,1765286136.028836,s,85.567123,s,72.0,°C
